palabra clave,repre,
category with id,id categoría,
choice with id,repuesta id,
comment with id,id comentario,"add, deleted"
course with id,id curso,
created the,que crea,
deleted the,que elimina,
deleted the attempt with id,intento cuestionario eliminado,
discussion with id,id discusión,
,,
elemento,id elemento,
enrolment method ,string método,
for the attempt with id,id,
for the module ,string modulo,
for the user with id,id usuario afectado,puede que coincidan en algún momento
forum post with id,id post foro,
forum with id,id foro,
grade with id,id,"puede ser calificación borrada o usuario calificado, 2 grade cada uno 1 id segundo item item id"
has graded the submission, ha calificado el envío id,
has had their attempt with id,id intento abandonado,
has submitted the attempt with id,intento enviado,
has viewed the attempt with id,intento cuestionario visualizado,
in the discussion,id discusión,quizás se pueda generalizar solo con discussion
item with id,item id,
launched the sco with id,id de algo????,
module id,ide del modulo del curso,
,,
post with id,id post,
question with id ,id quiestion,
role with id,id rol asignado,
section number,numero sección,
started the attempt with id,id intento enviado,
submission and uploaded ,siempre parece q es 1,
submission with id,presentación con id,
submitted response for,string,
the event,"calendario, evento creado, ultimo id el suyo",
The quiz attempt with id,id quiz????,
The reset of the course with id,id curso,reinicio del curso finalizado
The reset of the course with id '8354' has ended.,,
to the user with id,id usuario afectado,
updated the,que actualiza,
user with id,id usuario,afectado y realiza la acción
viewed the ,que mira,"duplicación en otras opciones no necesarias, solo necesario modulo de curso visto"
viewed the report,vista del reporte,
viewed the scorm report,string,
with viewing mode,string,
